Pos,Race No,Fav,Share,Print,Name,Time,Category,Cat Pos,Gender,Gen Pos,Pace,TOD,Start,O/Pos,C/Pos,G/Pos,Aid Station 12.99,O/Pos,C/Pos,G/Pos,Aid Station 20.32,O/Pos,C/Pos,G/Pos,Finish 31.32,O/Pos,C/Pos,G/Pos,Start,O/Pos,C/Pos,G/Pos,Aid Station 12.99,O/Pos,C/Pos,G/Pos,Aid Station 20.32,O/Pos,C/Pos,G/Pos,Finish 31.32,O/Pos,C/Pos,G/Pos
17,32,,,,Ben Mangrum,04:13:28,3039,8,Male,17,8:13 min/m,12:15:28,00:00:03,20,6,20,01:40:58,11,4,11,01:23:00,22,10,22,01:09:29,30,12,27,00:00:03,20,6,20,01:40:58,11,4,11,01:23:00,22,10,22,01:09:29,30,12,27
18,6,,,,Michael Borst,04:13:40,2029,7,Male,18,8:14 min/m,12:15:40,00:00:02,6,3,6,01:43:24,18,7,18,01:22:10,19,8,19,01:08:04,18,7,17,00:00:02,6,3,6,01:43:24,18,7,18,01:22:10,19,8,19,01:08:04,18,7,17
19,133,,,,Jeremy Wolf,04:14:04,3039,9,Male,19,8:14 min/m,12:16:04,00:00:03,11,2,11,01:44:20,19,9,19,01:21:27,17,6,17,01:08:16,19,8,18,00:00:03,11,2,11,01:44:20,19,9,19,01:21:27,17,6,17,01:08:16,19,8,18
20,299,,,,Zachary Szablewski,04:15:13,2029,8,Male,20,8:17 min/m,12:17:13,00:00:04,22,10,22,01:42:39,13,6,13,01:24:46,27,10,26,01:07:47,16,6,15,00:00:04,22,10,22,01:42:39,13,6,13,01:24:46,27,10,26,01:07:47,16,6,15
21,177,,,,Ladia Albertson-Junkans,04:17:44,TopFin,1,Female,1,8:22 min/m,12:19:44,00:00:05,43,3,8,01:45:39,24,1,1,01:23:28,24,1,1,01:08:37,22,2,2,00:00:05,43,3,8,01:45:39,24,1,1,01:23:28,24,1,1,01:08:37,22,2,2
22,257,,,,Roger Levesque,04:21:12,3039,10,Male,21,8:28 min/m,12:23:12,00:00:06,50,19,41,01:47:30,31,14,30,01:23:08,23,11,23,01:10:33,33,13,30,00:00:06,50,19,41,01:47:30,31,14,30,01:23:08,23,11,23,01:10:33,33,13,30
23,13,,,,Aj Baker,04:21:42,2029,9,Male,22,8:29 min/m,12:23:42,00:00:06,54,13,45,01:44:50,22,9,22,01:23:47,25,9,24,01:13:03,36,12,33,00:00:06,54,13,45,01:44:50,22,9,22,01:23:47,25,9,24,01:13:03,36,12,33
24,195,,,,Masazumi Fujioka,04:22:39,TopMas,1,Male,23,8:31 min/m,12:24:39,00:00:03,15,1,15,01:46:43,29,1,28,01:26:44,31,1,29,01:09:11,27,1,24,00:00:03,15,1,15,01:46:43,29,1,28,01:26:44,31,1,29,01:09:11,27,1,24
25,87,,,,Eric Miya,04:22:45,2029,10,Male,24,8:31 min/m,12:24:45,00:00:06,60,15,51,01:46:38,28,11,27,01:26:01,30,11,28,01:10:05,32,10,29,00:00:06,60,15,51,01:46:38,28,11,27,01:26:01,30,11,28,01:10:05,32,10,29
26,414,,,,Yiou Wang,04:23:31,TopFin,2,Female,2,8:33 min/m,12:25:31,00:00:04,29,2,5,01:51:28,41,3,4,01:25:09,29,2,2,01:06:53,14,1,1,00:00:04,29,2,5,01:51:28,41,3,4,01:25:09,29,2,2,01:06:53,14,1,1
27,520,,,,Yann Bernaquez,04:24:17,3039,11,Male,25,8:34 min/m,12:26:17,00:00:05,37,13,31,01:45:59,26,12,25,99:99:99,999999,999999,999999,04:24:22,999999,999999,999999,00:00:05,37,13,31,01:45:59,26,12,25,99:99:99,999999,999999,999999,04:24:22,999999,999999,999999
28,399,,,,Gary Gellin,04:24:20,4049,1,Male,26,8:34 min/m,12:26:20,00:00:02,4,1,4,01:46:42,27,1,26,01:27:38,32,1,30,01:10:00,31,3,28,00:00:02,4,1,4,01:46:42,27,1,26,01:27:38,32,1,30,01:10:00,31,3,28
29,457,,,,Jason Wright,04:26:02,3039,12,Male,27,8:38 min/m,12:28:02,00:00:05,45,16,37,01:47:28,30,13,29,01:25:08,28,13,27,01:13:25,39,16,36,00:00:05,45,16,37,01:47:28,30,13,29,01:25:08,28,13,27,01:13:25,39,16,36
30,237,,,,Patrick Halferty,04:26:39,3039,13,Male,28,8:39 min/m,12:28:39,00:00:04,32,10,27,01:53:35,46,21,41,01:24:21,26,12,25,01:08:43,23,9,21,00:00:04,32,10,27,01:53:35,46,21,41,01:24:21,26,12,25,01:08:43,23,9,21
31,325,,,,Joseph Pitt,04:27:39,3039,14,Male,29,8:41 min/m,12:29:39,00:00:06,53,21,44,01:44:48,21,10,21,01:27:53,33,14,31,01:14:57,42,17,39,00:00:06,53,21,44,01:44:48,21,10,21,01:27:53,33,14,31,01:14:57,42,17,39
32,395,,,,Byron Pittam,04:28:15,3039,15,Male,30,8:42 min/m,12:30:15,00:00:08,84,43,72,01:51:20,40,18,37,01:27:58,34,15,32,01:08:56,25,10,23,00:00:08,84,43,72,01:51:20,40,18,37,01:27:58,34,15,32,01:08:56,25,10,23
33,75,,,,Derek Reiff,04:29:46,3039,16,Male,31,8:45 min/m,12:31:46,00:00:10,109,52,93,01:49:24,33,15,32,01:28:16,36,17,34,01:12:05,35,14,32,00:00:10,109,52,93,01:49:24,33,15,32,01:28:16,36,17,34,01:12:05,35,14,32
34,385,,,,Leonard Strnad,04:32:06,2029,11,Male,32,8:50 min/m,12:34:06,00:00:03,13,6,13,02:09:47,107,27,95,00:59:43,2,1,2,01:22:35,93,24,78,00:00:03,13,6,13,02:09:47,107,27,95,00:59:43,2,1,2,01:22:35,93,24,78
35,322,,,,Jason Leman,04:32:26,3039,17,Male,33,8:50 min/m,12:34:26,00:00:07,68,30,58,01:53:45,48,23,43,01:22:45,20,8,20,01:15:54,50,19,45,00:00:07,68,30,58,01:53:45,48,23,43,01:22:45,20,8,20,01:15:54,50,19,45
36,251,,,,Rachel Jaten,04:33:13,TopMas,1,Female,3,8:52 min/m,12:35:13,00:00:04,28,1,4,01:50:48,38,1,3,01:33:26,50,1,7,01:08:58,26,1,3,00:00:04,28,1,4,01:50:48,38,1,3,01:33:26,50,1,7,01:08:58,26,1,3
37,198,,,,Matt Zuchetto,04:33:38,4049,2,Male,34,8:53 min/m,12:35:38,00:00:04,26,2,23,01:52:40,43,2,39,01:32:26,47,4,41,01:08:31,21,1,20,00:00:04,26,2,23,01:52:40,43,2,39,01:32:26,47,4,41,01:08:31,21,1,20
38,300,,,,Bruce Ronek,04:34:39,2029,12,Male,35,8:55 min/m,12:36:39,00:00:17,185,28,142,01:50:34,37,13,35,01:33:30,51,14,44,01:10:34,34,11,31,00:00:17,185,28,142,01:50:34,37,13,35,01:33:30,51,14,44,01:10:34,34,11,31
39,341,,,,Camille Herron,04:37:14,TopFin,3,Female,4,9:00 min/m,12:39:14,00:00:04,25,1,3,01:50:24,36,2,2,01:31:31,44,3,5,01:15:17,46,3,5,00:00:04,25,1,3,01:50:24,36,2,2,01:31:31,44,3,5,01:15:17,46,3,5
40,468,,,,Kevin Lionais,04:38:18,3039,18,Male,36,9:02 min/m,12:40:18,00:00:07,65,29,56,01:52:15,42,19,38,01:29:05,37,18,35,01:16:57,55,20,49,00:00:07,65,29,56,01:52:15,42,19,38,01:29:05,37,18,35,01:16:57,55,20,49
41,132,,,,Jeremy Anderson,04:39:52,2029,13,Male,37,9:05 min/m,12:41:52,00:00:03,18,9,18,01:47:49,32,12,31,01:31:31,43,12,39,01:20:32,75,23,64,00:00:03,18,9,18,01:47:49,32,12,31,01:31:31,43,12,39,01:20:32,75,23,64
42,415,,,,Adam Harris,04:40:37,3039,19,Male,38,9:06 min/m,12:42:37,00:00:05,39,15,33,01:53:43,47,22,42,01:28:00,35,16,33,01:18:53,65,26,57,00:00:05,39,15,33,01:53:43,47,22,42,01:28:00,35,16,33,01:18:53,65,26,57
43,125,,,,Jeff Kercher,04:41:40,4049,3,Male,39,9:08 min/m,12:43:40,00:00:05,41,4,35,01:55:59,55,4,50,01:32:28,48,5,42,01:13:12,37,4,34,00:00:05,41,4,35,01:55:59,55,4,50,01:32:28,48,5,42,01:13:12,37,4,34
44,4,,,,Jake Hegge,04:42:33,2029,14,Male,40,9:10 min/m,12:44:33,00:00:03,10,5,10,01:45:49,25,10,24,01:42:36,86,23,74,01:14:07,41,14,38,00:00:03,10,5,10,01:45:49,25,10,24,01:42:36,86,23,74,01:14:07,41,14,38
45,280,,,,Steven Kent,04:42:44,4049,4,Male,41,9:10 min/m,12:44:44,00:00:05,47,5,39,01:55:58,54,3,49,01:31:03,41,2,38,01:15:42,49,6,44,00:00:05,47,5,39,01:55:58,54,3,49,01:31:03,41,2,38,01:15:42,49,6,44
46,434,,,,Carter Hawke,04:43:01,2029,15,Male,42,9:11 min/m,12:45:01,00:00:03,17,8,17,01:54:40,52,16,47,01:32:47,49,13,43,01:15:33,47,15,42,00:00:03,17,8,17,01:54:40,52,16,47,01:32:47,49,13,43,01:15:33,47,15,42
47,187,,,,Maria Dalzot,04:43:42,2029,1,Female,5,9:12 min/m,12:45:42,00:00:05,42,3,7,01:57:27,60,1,6,01:29:14,38,1,3,01:17:00,56,1,7,00:00:05,42,3,7,01:57:27,60,1,6,01:29:14,38,1,3,01:17:00,56,1,7
48,77,,,,Dominic Battistella,04:43:46,4049,5,Male,43,9:12 min/m,12:45:46,00:00:06,52,6,43,02:02:41,76,6,68,01:31:39,45,3,40,01:09:25,29,2,26,00:00:06,52,6,43,02:02:41,76,6,68,01:31:39,45,3,40,01:09:25,29,2,26
49,7,,,,Tyler Heinz,04:44:00,2029,16,Male,44,9:13 min/m,12:46:00,00:00:09,94,18,79,01:51:07,39,14,36,01:37:17,69,19,61,01:15:35,48,16,43,00:00:09,94,18,79,01:51:07,39,14,36,01:37:17,69,19,61,01:15:35,48,16,43
50,246,,,,Phil Kochik,04:44:14,3039,20,Male,45,9:13 min/m,12:46:14,00:00:06,58,24,49,02:00:00,70,34,62,01:34:51,57,24,49,01:09:22,28,11,25,00:00:06,58,24,49,02:00:00,70,34,62,01:34:51,57,24,49,01:09:22,28,11,25
51,466,,,,Kathryn Drew,04:44:31,3039,1,Female,6,9:14 min/m,12:46:31,00:00:09,89,5,14,01:57:29,61,2,7,01:31:57,46,1,6,01:15:04,43,1,4,00:00:09,89,5,14,01:57:29,61,2,7,01:31:57,46,1,6,01:15:04,43,1,4
52,374,,,,Andrew Bock,04:45:02,3039,21,Male,46,9:15 min/m,12:47:02,00:00:03,14,4,14,01:50:01,34,16,33,01:35:49,63,26,55,01:19:11,69,29,60,00:00:03,14,4,14,01:50:01,34,16,33,01:35:49,63,26,55,01:19:11,69,29,60
53,65,,,,Corrine Malcolm,04:46:04,2029,2,Female,7,9:17 min/m,12:48:04,00:00:04,24,2,2,01:57:38,63,2,8,01:31:11,42,2,4,01:17:14,59,2,8,00:00:04,24,2,2,01:57:38,63,2,8,01:31:11,42,2,4,01:17:14,59,2,8
54,381,,,,Kris Tyson,04:46:34,3039,22,Male,47,9:18 min/m,12:48:34,00:00:06,55,22,46,01:57:36,64,31,56,01:30:24,39,19,36,01:18:32,63,25,55,00:00:06,55,22,46,01:57:36,64,31,56,01:30:24,39,19,36,01:18:32,63,25,55
55,518,,,,Vincent Pagot,04:47:34,3039,23,Male,48,9:20 min/m,12:49:34,00:00:05,33,11,28,01:54:22,50,25,45,01:34:07,55,23,48,01:19:05,68,28,59,00:00:05,33,11,28,01:54:22,50,25,45,01:34:07,55,23,48,01:19:05,68,28,59
56,273,,,,Shawn Bussert,04:49:51,3039,24,Male,49,9:24 min/m,12:51:51,00:00:06,61,26,52,01:53:15,45,20,40,01:35:01,58,25,50,01:21:34,85,35,71,00:00:06,61,26,52,01:53:15,45,20,40,01:35:01,58,25,50,01:21:34,85,35,71
57,241,,,,Paul Young,04:50:10,2029,17,Male,50,9:25 min/m,12:52:10,00:00:05,36,11,30,02:03:01,77,20,69,01:38:15,72,20,64,01:08:54,24,9,22,00:00:05,36,11,30,02:03:01,77,20,69,01:38:15,72,20,64,01:08:54,24,9,22
58,484,,,,Michael Stockdale,04:50:30,4049,6,Male,51,9:25 min/m,12:52:30,00:00:07,66,8,57,01:57:59,65,5,57,01:37:23,70,6,62,01:15:07,44,5,40,00:00:07,66,8,57,01:57:59,65,5,57,01:37:23,70,6,62,01:15:07,44,5,40
59,479,,,,Matthew Dorton,04:51:02,3039,25,Male,52,9:26 min/m,12:53:02,00:00:13,138,64,115,01:54:01,49,24,44,01:35:50,64,27,56,01:21:09,81,34,69,00:00:13,138,64,115,01:54:01,49,24,44,01:35:50,64,27,56,01:21:09,81,34,69
60,71,,,,Dave Latourette,04:51:06,5059,1,Male,53,9:27 min/m,12:53:06,00:00:05,44,1,36,01:58:52,68,1,60,01:35:32,59,1,51,01:16:40,54,1,48,00:00:05,44,1,36,01:58:52,68,1,60,01:35:32,59,1,51,01:16:40,54,1,48
61,333,,,,Molly Schmelzle,04:51:11,3039,2,Female,8,9:27 min/m,12:53:11,00:00:05,34,1,6,01:52:55,44,1,5,01:34:18,56,2,8,01:23:57,101,7,17,00:00:05,34,1,6,01:52:55,44,1,5,01:34:18,56,2,8,01:23:57,101,7,17
62,458,,,,Jeff Pelletier,04:51:36,3039,26,Male,54,9:28 min/m,12:53:36,00:00:08,79,38,67,01:58:11,66,32,58,01:36:16,65,28,57,01:17:08,58,22,51,00:00:08,79,38,67,01:58:11,66,32,58,01:36:16,65,28,57,01:17:08,58,22,51
63,319,,,,Derek Lopez,04:51:46,2029,18,Male,55,9:28 min/m,12:53:46,00:00:09,97,20,82,02:01:46,74,19,66,01:33:56,54,15,47,01:16:02,51,17,46,00:00:09,97,20,82,02:01:46,74,19,66,01:33:56,54,15,47,01:16:02,51,17,46
64,475,,,,Martin Caron,04:51:53,3039,27,Male,56,9:28 min/m,12:53:53,00:00:08,81,40,69,02:05:56,88,43,79,01:30:39,40,20,37,01:15:17,45,18,41,00:00:08,81,40,69,02:05:56,88,43,79,01:30:39,40,20,37,01:15:17,45,18,41
65,272,,,,Shaun Frandsen,04:52:10,3039,28,Male,57,9:29 min/m,12:54:10,00:00:04,30,9,25,03:31:20,407,112,276,00:00:00,999999,999999,999999,01:20:50,78,33,67,00:00:04,30,9,25,03:31:20,407,112,276,00:00:00,999999,999999,999999,01:20:50,78,33,67
66,477,,,,Matt Hosford,04:52:18,2029,19,Male,58,9:29 min/m,12:54:18,00:00:10,104,22,88,01:58:46,67,18,59,01:35:44,61,17,53,01:17:46,60,19,52,00:00:10,104,22,88,01:58:46,67,18,59,01:35:44,61,17,53,01:17:46,60,19,52
67,531,,,,Chris O'sullivan,04:55:18,3039,29,Male,59,9:35 min/m,12:57:18,00:00:09,99,48,84,01:57:06,58,29,53,01:33:33,52,21,45,01:24:37,103,45,86,00:00:09,99,48,84,01:57:06,58,29,53,01:33:33,52,21,45,01:24:37,103,45,86
68,386,,,,Miguel Gomez,04:55:22,3039,30,Male,60,9:35 min/m,12:57:22,00:00:04,27,8,24,01:57:37,62,30,55,01:37:01,68,31,60,01:20:43,77,32,66,00:00:04,27,8,24,01:57:37,62,30,55,01:37:01,68,31,60,01:20:43,77,32,66
69,291,,,,Travis Schultz,04:56:52,3039,31,Male,61,9:38 min/m,12:58:52,00:00:06,59,25,50,01:56:27,56,27,51,01:40:33,80,37,70,01:19:50,70,30,61,00:00:06,59,25,50,01:56:27,56,27,51,01:40:33,80,37,70,01:19:50,70,30,61
70,140,,,,Joel Van Sloten,04:57:37,3039,32,Male,62,9:39 min/m,12:59:37,00:00:11,116,54,96,02:02:11,75,38,67,01:36:25,66,29,58,01:18:59,66,27,58,00:00:11,116,54,96,02:02:11,75,38,67,01:36:25,66,29,58,01:18:59,66,27,58
71,176,,,,Kyle Lampi,04:58:29,3039,33,Male,63,9:41 min/m,13:00:29,00:00:08,85,44,73,01:54:41,53,26,48,01:38:55,76,34,67,01:24:51,105,47,88,00:00:08,85,44,73,01:54:41,53,26,48,01:38:55,76,34,67,01:24:51,105,47,88
72,435,,,,Cendrix Bouchard,04:59:51,3039,34,Male,64,9:44 min/m,13:01:51,00:00:08,82,41,70,01:59:34,69,33,61,01:37:42,71,32,63,01:22:34,92,40,77,00:00:08,82,41,70,01:59:34,69,33,61,01:37:42,71,32,63,01:22:34,92,40,77
73,380,,,,Josh Baker,05:00:44,3039,35,Male,65,9:45 min/m,13:02:44,00:00:12,128,57,105,01:56:47,57,28,52,01:36:58,67,30,59,01:26:58,118,52,96,00:00:12,128,57,105,01:56:47,57,28,52,01:36:58,67,30,59,01:26:58,118,52,96
74,478,,,,Matt Ehrenreich,05:00:55,2029,20,Male,66,9:46 min/m,13:02:55,00:00:08,86,16,74,02:11:17,111,28,98,01:35:39,60,16,52,01:13:58,40,13,37,00:00:08,86,16,74,02:11:17,111,28,98,01:35:39,60,16,52,01:13:58,40,13,37
75,417,,,,Alan Yu,05:01:18,3039,36,Male,67,9:46 min/m,13:03:18,00:00:08,87,45,75,02:01:10,73,37,65,01:38:21,73,33,65,01:21:46,87,37,73,00:00:08,87,45,75,02:01:10,73,37,65,01:38:21,73,33,65,01:21:46,87,37,73
76,431,,,,Brandon Gildenstern,05:01:26,2029,21,Male,68,9:47 min/m,13:03:26,00:00:06,57,14,48,02:07:04,93,24,83,01:35:47,62,18,54,01:18:35,64,20,56,00:00:06,57,14,48,02:07:04,93,24,83,01:35:47,62,18,54,01:18:35,64,20,56
77,64,,,,Corey Nunlist,05:01:32,3039,37,Male,69,9:47 min/m,13:03:32,00:00:06,64,28,55,02:00:21,72,36,64,01:47:50,109,52,93,01:13:19,38,15,35,00:00:06,64,28,55,02:00:21,72,36,64,01:47:50,109,52,93,01:13:19,38,15,35
78,158,,,,Kayla Campasino,05:03:14,2029,3,Female,9,9:50 min/m,13:05:14,00:00:04,23,1,1,02:03:28,82,3,9,01:38:54,75,3,9,01:20:51,79,5,12,00:00:04,23,1,1,02:03:28,82,3,9,01:38:54,75,3,9,01:20:51,79,5,12
79,142,,,,Joeseph Sielen,05:06:17,3039,38,Male,70,9:56 min/m,13:08:17,00:00:19,210,79,157,02:03:18,83,40,74,01:33:52,53,22,46,01:29:06,133,56,108,00:00:19,210,79,157,02:03:18,83,40,74,01:33:52,53,22,46,01:29:06,133,56,108
80,19,,,,Amelia Bethke,05:07:27,2029,4,Female,10,9:58 min/m,13:09:27,00:00:08,78,5,12,02:07:55,99,5,11,01:39:27,77,4,10,01:20:04,71,4,10,00:00:08,78,5,12,02:07:55,99,5,11,01:39:27,77,4,10,01:20:04,71,4,10
81,332,,,,Michael Engelbert,05:07:58,3039,39,Male,71,9:59 min/m,13:09:58,00:00:09,95,47,80,02:09:35,105,51,93,01:40:03,78,35,68,01:18:18,62,24,54,00:00:09,95,47,80,02:09:35,105,51,93,01:40:03,78,35,68,01:18:18,62,24,54
82,444,,,,David Gordon,05:08:52,2029,22,Male,72,10:01 min/m,13:10:52,00:00:16,172,27,134,02:03:14,81,23,73,01:38:23,74,21,66,01:27:14,119,27,97,00:00:16,172,27,134,02:03:14,81,23,73,01:38:23,74,21,66,01:27:14,119,27,97
83,23,,,,Andrew Taylor,05:10:30,2029,23,Male,73,10:04 min/m,13:12:30,00:00:09,90,17,76,01:57:22,59,17,54,01:41:38,84,22,73,01:31:29,150,32,121,00:00:09,90,17,76,01:57:22,59,17,54,01:41:38,84,22,73,01:31:29,150,32,121
84,39,,,,Blake Hsnsen,05:10:40,2029,24,Male,74,10:05 min/m,13:12:40,00:00:12,126,24,103,01:54:24,51,15,46,01:52:14,141,31,118,01:24:02,102,25,85,00:00:12,126,24,103,01:54:24,51,15,46,01:52:14,141,31,118,01:24:02,102,25,85
85,354,,,,Rob Bond,05:11:20,2029,25,Male,75,10:06 min/m,13:13:20,00:00:10,105,23,89,02:03:08,79,22,71,01:51:43,140,30,117,01:16:29,52,18,47,00:00:10,105,23,89,02:03:08,79,22,71,01:51:43,140,30,117,01:16:29,52,18,47
86,124,,,,Jeff Wolf,05:11:29,3039,40,Male,76,10:06 min/m,13:13:29,00:00:11,115,53,95,02:07:42,97,47,87,01:43:09,88,41,76,01:20:37,76,31,65,00:00:11,115,53,95,02:07:42,97,47,87,01:43:09,88,41,76,01:20:37,76,31,65
87,429,,,,Ben Hanke,05:11:34,3039,41,Male,77,10:06 min/m,13:13:34,00:00:07,71,32,61,02:05:15,86,42,77,01:49:11,114,54,98,01:17:07,57,21,50,00:00:07,71,32,61,02:05:15,86,42,77,01:49:11,114,54,98,01:17:07,57,21,50
88,11,,,,Adam Krett,05:11:55,4049,7,Male,78,10:07 min/m,13:13:55,00:00:12,123,14,101,02:05:14,87,7,78,01:45:22,97,8,83,01:21:19,82,8,70,00:00:12,123,14,101,02:05:14,87,7,78,01:45:22,97,8,83,01:21:19,82,8,70
89,485,,,,Michelle Ford,05:13:18,3039,3,Female,11,10:10 min/m,13:15:18,00:00:09,88,4,13,02:15:43,131,6,18,01:41:05,82,3,11,01:16:29,53,2,6,00:00:09,88,4,13,02:15:43,131,6,18,01:41:05,82,3,11,01:16:29,53,2,6
90,453,,,,Humphrey Chau,05:13:19,3039,42,Male,79,10:10 min/m,13:15:19,00:00:06,62,27,53,02:06:41,91,45,82,01:44:07,90,43,78,01:22:30,91,39,76,00:00:06,62,27,53,02:06:41,91,45,82,01:44:07,90,43,78,01:22:30,91,39,76
91,197,,,,Matt Campbell,05:14:09,3039,43,Male,80,10:12 min/m,13:16:09,00:00:12,121,55,100,02:07:18,94,46,84,01:43:21,89,42,77,01:23:29,99,43,83,00:00:12,121,55,100,02:07:18,94,46,84,01:43:21,89,42,77,01:23:29,99,43,83
92,328,,,,Laura Ueki,05:15:25,2029,5,Female,12,10:14 min/m,13:17:25,00:00:22,228,18,59,02:06:40,92,4,10,01:47:23,104,6,15,01:21:20,83,6,13,00:00:22,228,18,59,02:06:40,92,4,10,01:47:23,104,6,15,01:21:20,83,6,13
93,214,,,,Mike Stevens,05:16:02,3039,44,Male,81,10:15 min/m,13:18:02,00:00:07,75,36,65,02:10:28,110,53,97,01:40:50,81,38,71,01:24:43,104,46,87,00:00:07,75,36,65,02:10:28,110,53,97,01:40:50,81,38,71,01:24:43,104,46,87
94,233,,,,Nicole Vander Wiele,05:16:46,3039,4,Female,13,10:17 min/m,13:18:46,00:00:08,76,3,11,02:08:54,102,3,12,01:47:42,106,6,16,01:20:08,73,3,11,00:00:08,76,3,11,02:08:54,102,3,12,01:47:42,106,6,16,01:20:08,73,3,11
95,3,,,,Brian Mansky,05:17:09,3039,45,Male,82,10:17 min/m,13:19:09,00:00:10,101,49,86,02:13:50,119,58,106,01:45:23,98,47,84,01:17:55,61,23,53,00:00:10,101,49,86,02:13:50,119,58,106,01:45:23,98,47,84,01:17:55,61,23,53
